"","diff","lwr","upr","padj","sign"
"S2-S1",5.94533977289089,2.01533659587447,9.87534294990731,5.92422802925263e-06,"*"
"S3-S1",0.768764005927115,-3.16123917108931,4.69876718294354,0.999999999994859,""
"S4-S1",-3.46798664501626,-7.39798982203268,0.462016532000162,0.190388530686383,""
"S5-S1",1.28988646866722,-2.6401167083492,5.21988964568364,0.999997550837695,""
"S6-S1",-3.41264710343361,-7.34265028045003,0.51735607358281,0.218066676664017,""
"S7-S1",53.7790675239624,49.8490643469459,57.7090707009788,0,"*"
"S8-S1",1.79599506527224,-2.13400811174418,5.72599824228866,0.998172044155282,""
"S9-S1",0.521806718919028,-3.40819645809739,4.45180989593545,1,""
"S10-S1",-3.5521643957434,-7.48216757275982,0.377838781273023,0.153248620816148,""
"S11-S1",-2.24881239052754,-6.17881556754396,1.68119078648889,0.952841811874787,""
"S12-S1",-2.56864674036727,-6.49864991738369,1.36135643664915,0.818725834163664,""
"S13-S1",-2.55653679487163,-6.48653997188805,1.37346638214479,0.825871249543813,""
"S14-S1",-3.29269985322335,-7.22270303023977,0.637303323793076,0.287001400257939,""
"S15-S1",-3.56823810796199,-7.49824128497841,0.361765069054429,0.146820191630545,""
"S16-S1",-1.25277211853032,-5.18277529554674,2.67723105848611,0.999998740476119,""
"S17-S1",-3.03579547355802,-6.96579865057444,0.894207703458398,0.470330377786154,""
"S18-S1",-2.35424781438104,-6.28425099139746,1.57575536263538,0.921137848489787,""
"S19-S1",-3.20734710873117,-7.13735028574759,0.722656068285251,0.343149826755245,""
"S20-S1",-3.14137483666606,-7.07137801368248,0.788628340350363,0.390110999832183,""
"S21-S1",-3.16262894731716,-7.09263212433358,0.767374229699266,0.37467450544719,""
"S22-S1",-3.59110930538088,-7.52111248239731,0.338893871635536,0.138029027302693,""
"S23-S1",-3.59110930538087,-7.52111248239729,0.33889387163555,0.138029027302697,""
"S24-S1",-3.42739680899953,-7.35739998601595,0.502606368016896,0.210433507704065,""
"S25-S1",-3.15320177494418,-7.0832049519606,0.776801402072241,0.381487110322598,""
"S26-S1",-3.56112198336219,-7.49112516037861,0.36888119365423,0.149640494488023,""
"S27-S1",-3.59110930538091,-7.52111248239733,0.338893871635508,0.138029027302683,""
"S28-S1",-3.37778348022713,-7.30778665724356,0.552219696789286,0.236849538497997,""
"S29-S1",-3.59110930538097,-7.52111248239739,0.338893871635454,0.138029027302662,""
"S30-S1",-3.1282991176996,-7.05830229471602,0.801704059316824,0.399741610838877,""
"unk-S1",-3.59110930538095,-7.52111248239737,0.33889387163547,0.138029027302668,""
"S3-S2",-5.17657576696377,-9.1065789439802,-1.24657258994735,0.000313925765945355,"*"
"S4-S2",-9.41332641790715,-13.3433295949236,-5.48332324089073,0,"*"
"S5-S2",-4.65545330422367,-8.58545648124009,-0.725450127207252,0.00327953051431518,"*"
"S6-S2",-9.3579868763245,-13.2879900533409,-5.42798369930808,0,"*"
"S7-S2",47.8337277510715,43.903724574055,51.7637309280879,0,"*"
"S8-S2",-4.14934470761865,-8.07934788463507,-0.219341530602226,0.0236181899872725,"*"
"S9-S2",-5.42353305397186,-9.35353623098828,-1.49352987695544,9.34131295589058e-05,"*"
"S10-S2",-9.49750416863429,-13.4275073456507,-5.56750099161787,0,"*"
"S11-S2",-8.19415216341843,-12.1241553404348,-4.26414898640201,0,"*"
"S12-S2",-8.51398651325816,-12.4439896902746,-4.58398333624174,0,"*"
"S13-S2",-8.50187656776252,-12.4318797447789,-4.5718733907461,0,"*"
"S14-S2",-9.23803962611423,-13.1680428031307,-5.30803644909781,0,"*"
"S15-S2",-9.51357788085288,-13.4435810578693,-5.58357470383646,0,"*"
"S16-S2",-7.19811189142121,-11.1281150684376,-3.26810871440478,1.79641501674155e-09,"*"
"S17-S2",-8.98113524644891,-12.9111384234653,-5.05113206943249,0,"*"
"S18-S2",-8.29958758727193,-12.2295907642884,-4.36958441025551,0,"*"
"S19-S2",-9.15268688162206,-13.0826900586385,-5.22268370460564,0,"*"
"S20-S2",-9.08671460955695,-13.0167177865734,-5.15671143254053,0,"*"
"S21-S2",-9.10796872020805,-13.0379718972245,-5.17796554319162,0,"*"
"S22-S2",-9.53644907827177,-13.4664522552882,-5.60644590125535,0,"*"
"S23-S2",-9.53644907827176,-13.4664522552882,-5.60644590125534,0,"*"
"S24-S2",-9.37273658189041,-13.3027397589068,-5.44273340487399,0,"*"
"S25-S2",-9.09854154783507,-13.0285447248515,-5.16853837081865,0,"*"
"S26-S2",-9.50646175625308,-13.4364649332695,-5.57645857923666,0,"*"
"S27-S2",-9.5364490782718,-13.4664522552882,-5.60644590125538,0,"*"
"S28-S2",-9.32312325311803,-13.2531264301344,-5.3931200761016,0,"*"
"S29-S2",-9.53644907827186,-13.4664522552883,-5.60644590125544,0,"*"
"S30-S2",-9.07363889059049,-13.0036420676069,-5.14363571357407,0,"*"
"unk-S2",-9.53644907827184,-13.4664522552883,-5.60644590125542,0,"*"
"S4-S3",-4.23675065094337,-8.16675382795979,-0.306747473926952,0.0171926792597699,"*"
"S5-S3",0.521122462740101,-3.40888071427632,4.45112563975652,1,""
"S6-S3",-4.18141110936073,-8.11141428637715,-0.251407932344305,0.0210462361850884,"*"
"S7-S3",53.0103035180352,49.0803003410188,56.9403066950517,0,"*"
"S8-S3",1.02723105934513,-2.90277211767129,4.95723423636155,0.999999989465334,""
"S9-S3",-0.246957287008087,-4.17696046402451,3.68304589000833,1,""
"S10-S3",-4.32092840167051,-8.25093157868693,-0.390925224654092,0.0125420823208846,"*"
"S11-S3",-3.01757639645465,-6.94757957347107,0.912426780561771,0.484637596577855,""
"S12-S3",-3.33741074629439,-7.26741392331081,0.592592430722033,0.259892948467427,""
"S13-S3",-3.32530080079874,-7.25530397781516,0.604702376217679,0.267072235270096,""
"S14-S3",-4.06146385915046,-7.99146703616688,-0.13146068213404,0.0321602161523931,"*"
"S15-S3",-4.33700211388911,-8.26700529090553,-0.406998936872687,0.0117966810758392,"*"
"S16-S3",-2.02153612445743,-5.95153930147385,1.90846705255899,0.98830836818269,""
"S17-S3",-3.80455947948514,-7.73456265650156,0.125443697531284,0.0743764466911609,""
"S18-S3",-3.12301182030816,-7.05301499732458,0.806991356708263,0.403663503070542,""
"S19-S3",-3.97611111465829,-7.90611429167471,-0.0461079376418643,0.0429530530501081,"*"
"S20-S3",-3.91013884259317,-7.84014201960959,0.0198643344232483,0.0533300188597695,""
"S21-S3",-3.93139295324427,-7.86139613026069,-0.00138977622784919,0.049773859459907,"*"
"S22-S3",-4.359873311308,-8.28987648832442,-0.429870134291579,0.0108056021891667,"*"
"S23-S3",-4.35987331130799,-8.28987648832441,-0.429870134291565,0.0108056021891674,"*"
"S24-S3",-4.19616081492664,-8.12616399194306,-0.26615763791022,0.0199498317943392,"*"
"S25-S3",-3.92196578087129,-7.85196895788772,0.00803739614512633,0.0513252108512809,""
"S26-S3",-4.32988598928931,-8.25988916630573,-0.399882812272885,0.012121553546895,"*"
"S27-S3",-4.35987331130803,-8.28987648832445,-0.429870134291606,0.0108056021891654,"*"
"S28-S3",-4.14654748615425,-8.07655066317067,-0.216544309137828,0.0238553410806452,"*"
"S29-S3",-4.35987331130808,-8.2898764883245,-0.429870134291661,0.0108056021891645,"*"
"S30-S3",-3.89706312362671,-7.82706630064313,0.0329400533897095,0.0556241897609402,""
"unk-S3",-4.35987331130807,-8.28987648832449,-0.429870134291645,0.0108056021891646,"*"
"S5-S4",4.75787311368348,0.827869936667054,8.6878762906999,0.00211768518959765,"*"
"S6-S4",0.0553395415826472,-3.87466363543377,3.98534271859907,1,""
"S7-S4",57.2470541689786,53.3170509919622,61.177057345995,0,"*"
"S8-S4",5.2639817102885,1.33397853327208,9.19398488730492,0.000205866124023957,"*"
"S9-S4",3.98979336393529,0.0597901869188657,7.91979654095171,0.0410350819227197,"*"
"S10-S4",-0.0841777507271395,-4.01418092774356,3.84582542628928,1,""
"S11-S4",1.21917425448872,-2.7108289225277,5.14917743150514,0.999999328489063,""
"S12-S4",0.899339904648985,-3.03066327236744,4.82934308166541,0.999999999653521,""
"S13-S4",0.911449850144632,-3.01855332687179,4.84145302716105,0.999999999508431,""
"S14-S4",0.175286791792913,-3.75471638522351,4.10528996880933,1,""
"S15-S4",-0.100251462945734,-4.03025463996216,3.82975171407069,1,""
"S16-S4",2.21521452648594,-1.71478865053048,6.14521770350236,0.96062311090293,""
"S17-S4",0.432191171458236,-3.49781200555819,4.36219434847466,1,""
"S18-S4",1.11373883063522,-2.81626434638121,5.04374200765164,0.999999922187798,""
"S19-S4",0.260639536285088,-3.66936364073133,4.19064271330151,1,""
"S20-S4",0.326611808350201,-3.60339136866622,4.25661498536662,1,""
"S21-S4",0.305357697699103,-3.62464547931732,4.23536087471552,1,""
"S22-S4",-0.123122660364626,-4.05312583738105,3.8068805166518,1,""
"S23-S4",-0.123122660364613,-4.05312583738103,3.80688051665181,1,""
"S24-S4",0.0405898360167334,-3.88941334099969,3.97059301303315,1,""
"S25-S4",0.314784870072079,-3.61521830694434,4.2447880470885,1,""
"S26-S4",-0.0931353383459328,-4.02313851536235,3.83686783867049,1,""
"S27-S4",-0.123122660364654,-4.05312583738108,3.80688051665177,1,""
"S28-S4",0.0902031647891239,-3.8398000122273,4.02020634180555,1,""
"S29-S4",-0.123122660364709,-4.05312583738113,3.80688051665171,1,""
"S30-S4",0.339687527316662,-3.59031564969976,4.26969070433308,1,""
"unk-S4",-0.123122660364693,-4.05312583738111,3.80688051665173,1,""
"S6-S5",-4.70253357210083,-8.63253674911725,-0.772530395084407,0.0026862509573562,"*"
"S7-S5",52.4891810552951,48.5591778782787,56.4191842323116,0,"*"
"S8-S5",0.506108596605026,-3.4238945804114,4.43611177362145,1,""
"S9-S5",-0.768079749748188,-4.69808292676461,3.16192342726823,0.999999999994982,""
"S10-S5",-4.84205086441061,-8.77205404142704,-0.912047687394193,0.00146508946900248,"*"
"S11-S5",-3.53869885919475,-7.46870203621117,0.391304317821669,0.158795137802422,""
"S12-S5",-3.85853320903449,-7.78853638605091,0.0714699679819315,0.062879721625041,""
"S13-S5",-3.84642326353884,-7.77642644055526,0.0835799134775779,0.0653194896727685,""
"S14-S5",-4.58258632189056,-8.51258949890698,-0.65258314487414,0.00444351015828204,"*"
"S15-S5",-4.85812457662921,-8.78812775364563,-0.928121399612787,0.00136433628277,"*"
"S16-S5",-2.54265858719753,-6.47266176421395,1.38734458981889,0.833869060061754,""
"S17-S5",-4.32568194222524,-8.25568511924166,-0.395678765208818,0.012317292635567,"*"
"S18-S5",-3.64413428304826,-7.57413746006468,0.285868893968162,0.119209410181098,""
"S19-S5",-4.49723357739839,-8.42723675441481,-0.567230400381965,0.00629144245293456,"*"
"S20-S5",-4.43126130533327,-8.3612644823497,-0.501258128316853,0.00818168219252335,"*"
"S21-S5",-4.45251541598437,-8.38251859300079,-0.522512238967951,0.00752212169012223,"*"
"S22-S5",-4.8809957740481,-8.81099895106452,-0.950992597031679,0.00123219384833573,"*"
"S23-S5",-4.88099577404809,-8.81099895106451,-0.950992597031667,0.00123219384833506,"*"
"S24-S5",-4.71728327766674,-8.64728645468316,-0.78728010065032,0.00252212548397912,"*"
"S25-S5",-4.4430882436114,-8.37309142062782,-0.513085066594975,0.00780837759635533,"*"
"S26-S5",-4.85100845202941,-8.78101162904583,-0.921005275012987,0.00140810712322414,"*"
"S27-S5",-4.88099577404813,-8.81099895106455,-0.950992597031708,0.00123219384833462,"*"
"S28-S5",-4.66766994889435,-8.59767312591077,-0.73766677187793,0.00311480333809711,"*"
"S29-S5",-4.88099577404818,-8.8109989510646,-0.950992597031763,0.0012321938483344,"*"
"S30-S5",-4.41818558636681,-8.34818876338323,-0.488182409350392,0.00861346515542938,"*"
"unk-S5",-4.88099577404817,-8.81099895106459,-0.950992597031747,0.00123219384833417,"*"
"S7-S6",57.191714627396,53.2617114503795,61.1217178044124,0,"*"
"S8-S6",5.20864216870585,1.27863899168943,9.13864534572227,0.000269151938035339,"*"
"S9-S6",3.93445382235264,0.00445064533621853,7.86445699936906,0.0492789087334387,"*"
"S10-S6",-0.139517292309787,-4.06952046932621,3.79048588470663,1,""
"S11-S6",1.16383471290608,-2.76616846411035,5.0938378899225,0.999999775428888,""
"S12-S6",0.844000363066338,-3.08600281395008,4.77400354008276,0.99999999993529,""
"S13-S6",0.856110308561985,-3.07389286845444,4.78611348557841,0.999999999905493,""
"S14-S6",0.119947250210266,-3.81005592680616,4.04995042722669,1,""
"S15-S6",-0.155591004528381,-4.0855941815448,3.77441217248804,1,""
"S16-S6",2.1598749849033,-1.77012819211313,6.08987816191972,0.97128080444567,""
"S17-S6",0.376851629875589,-3.55315154714083,4.30685480689201,1,""
"S18-S6",1.05839928905257,-2.87160388796385,4.98840246606899,0.999999977773107,""
"S19-S6",0.205299994702441,-3.72470318231398,4.13530317171886,1,""
"S20-S6",0.271272266767554,-3.65873091024887,4.20127544378397,1,""
"S21-S6",0.250018156116456,-3.67998502089997,4.18002133313288,1,""
"S22-S6",-0.178462201947273,-4.10846537896369,3.75154097506915,1,""
"S23-S6",-0.17846220194726,-4.10846537896368,3.75154097506916,1,""
"S24-S6",-0.0147497055659138,-3.94475288258234,3.91525347145051,1,""
"S25-S6",0.259445328489432,-3.67055784852699,4.18944850550585,1,""
"S26-S6",-0.14847487992858,-4.078478056945,3.78152829708784,1,""
"S27-S6",-0.178462201947301,-4.10846537896372,3.75154097506912,1,""
"S28-S6",0.0348636232064767,-3.89513955380994,3.9648668002229,1,""
"S29-S6",-0.178462201947356,-4.10846537896378,3.75154097506907,1,""
"S30-S6",0.284347985734015,-3.64565519128241,4.21435116275044,1,""
"unk-S6",-0.17846220194734,-4.10846537896376,3.75154097506908,1,""
"S8-S7",-51.9830724586901,-55.9130756357065,-48.0530692816737,0,"*"
"S9-S7",-53.2572608050433,-57.1872639820597,-49.3272576280269,0,"*"
"S10-S7",-57.3312319197058,-61.2612350967222,-53.4012287426893,0,"*"
"S11-S7",-56.0278799144899,-59.9578830915063,-52.0978767374735,0,"*"
"S12-S7",-56.3477142643296,-60.277717441346,-52.4177110873132,0,"*"
"S13-S7",-56.335604318834,-60.2656074958504,-52.4056011418176,0,"*"
"S14-S7",-57.0717673771857,-61.0017705542021,-53.1417642001693,0,"*"
"S15-S7",-57.3473056319243,-61.2773088089408,-53.4173024549079,0,"*"
"S16-S7",-55.0318396424927,-58.9618428195091,-51.1018364654762,0,"*"
"S17-S7",-56.8148629975204,-60.7448661745368,-52.884859820504,0,"*"
"S18-S7",-56.1333153383434,-60.0633185153598,-52.203312161327,0,"*"
"S19-S7",-56.9864146326935,-60.9164178097099,-53.0564114556771,0,"*"
"S20-S7",-56.9204423606284,-60.8504455376448,-52.990439183612,0,"*"
"S21-S7",-56.9416964712795,-60.8716996482959,-53.0116932942631,0,"*"
"S22-S7",-57.3701768293432,-61.3001800063597,-53.4401736523268,0,"*"
"S23-S7",-57.3701768293432,-61.3001800063596,-53.4401736523268,0,"*"
"S24-S7",-57.2064643329619,-61.1364675099783,-53.2764611559455,0,"*"
"S25-S7",-56.9322692989065,-60.862272475923,-53.0022661218901,0,"*"
"S26-S7",-57.3401895073245,-61.270192684341,-53.4101863303081,0,"*"
"S27-S7",-57.3701768293433,-61.3001800063597,-53.4401736523268,0,"*"
"S28-S7",-57.1568510041895,-61.0868541812059,-53.2268478271731,0,"*"
"S29-S7",-57.3701768293433,-61.3001800063597,-53.4401736523269,0,"*"
"S30-S7",-56.907366641662,-60.8373698186784,-52.9773634646455,0,"*"
"unk-S7",-57.3701768293433,-61.3001800063597,-53.4401736523269,0,"*"
"S9-S8",-1.27418834635321,-5.20419152336964,2.65581483066321,0.999998144445266,""
"S10-S8",-5.34815946101564,-9.27816263803206,-1.41815628399922,0.000136117206132269,"*"
"S11-S8",-4.04480745579978,-7.9748106328162,-0.114804278783357,0.0340565146494028,"*"
"S12-S8",-4.36464180563952,-8.29464498265594,-0.434638628623095,0.010608808282053,"*"
"S13-S8",-4.35253186014387,-8.28253503716029,-0.422528683127449,0.0111151120861951,"*"
"S14-S8",-5.08869491849559,-9.01869809551201,-1.15869174147917,0.000475992558417238,"*"
"S15-S8",-5.36423317323423,-9.29423635025066,-1.43422999621781,0.000125675855686902,"*"
"S16-S8",-3.04876718380256,-6.97877036081898,0.881235993213863,0.460210793030147,""
"S17-S8",-4.83179053883027,-8.76179371584669,-0.901787361813844,0.00153302973201086,"*"
"S18-S8",-4.15024287965329,-8.08024605666971,-0.220239702636865,0.0235424897814301,"*"
"S19-S8",-5.00334217400341,-8.93334535101983,-1.07333899698699,0.000707604903553261,"*"
"S20-S8",-4.9373699019383,-8.86737307895472,-1.00736672492188,0.000956228802950099,"*"
"S21-S8",-4.9586240125894,-8.88862718960582,-1.02862083557298,0.000868269932632004,"*"
"S22-S8",-5.38710437065313,-9.31710754766955,-1.45710119363671,0.000112134412140419,"*"
"S23-S8",-5.38710437065311,-9.31710754766954,-1.45710119363669,0.000112134412139975,"*"
"S24-S8",-5.22339187427177,-9.15339505128819,-1.29338869725535,0.000250670480063997,"*"
"S25-S8",-4.94919684021642,-8.87920001723284,-1.0191936632,0.000906293232313948,"*"
"S26-S8",-5.35711704863443,-9.28712022565086,-1.42711387161801,0.000130199966032141,"*"
"S27-S8",-5.38710437065316,-9.31710754766958,-1.45710119363673,0.000112134412141085,"*"
"S28-S8",-5.17377854549938,-9.1037817225158,-1.24377536848296,0.000318152067779964,"*"
"S29-S8",-5.38710437065321,-9.31710754766963,-1.45710119363679,0.000112134412141307,"*"
"S30-S8",-4.92429418297184,-8.85429735998826,-0.994291005955418,0.00101446587922016,"*"
"unk-S8",-5.38710437065319,-9.31710754766961,-1.45710119363677,0.000112134412140863,"*"
"S10-S9",-4.07397111466243,-8.00397429167885,-0.143967937646005,0.0307980777819453,"*"
"S11-S9",-2.77061910944656,-6.70062228646298,1.15938406756986,0.679969602163897,""
"S12-S9",-3.0904534592863,-7.02045663630272,0.83954971773012,0.428142069100593,""
"S13-S9",-3.07834351379066,-7.00834669080708,0.851659663225766,0.437380447587389,""
"S14-S9",-3.81450657214237,-7.74450974915879,0.115496604874048,0.072134567099533,""
"S15-S9",-4.09004482688102,-8.02004800389744,-0.1600416498646,0.0291224824695758,"*"
"S16-S9",-1.77457883744934,-5.70458201446576,2.15542433956708,0.998510888081315,""
"S17-S9",-3.55760219247705,-7.48760536949347,0.37240098453937,0.151050537397684,""
"S18-S9",-2.87605453330007,-6.80605771031649,1.05394864371635,0.597553713771387,""
"S19-S9",-3.7291538276502,-7.65915700466662,0.200849349366222,0.0933228685256309,""
"S20-S9",-3.66318155558509,-7.59318473260151,0.266821621431335,0.112964309963486,""
"S21-S9",-3.68443566623618,-7.61443884325261,0.245567510780238,0.106305399587687,""
"S22-S9",-4.11291602429991,-8.04291920131633,-0.182912847283492,0.0268774750719456,"*"
"S23-S9",-4.1129160242999,-8.04291920131632,-0.182912847283478,0.0268774750719474,"*"
