"","Gene","t","df","pval","sign"
"1","AMDHD2",3.12148208141114,185.262712401804,0.00208793067485999,1
"2","BCL2A1",-0.348667386120367,160.586461055032,0.727795736020081,0
"3","BIRC5",0.73551489602297,192.454832055248,0.462921381798418,0
"4","BRCA1",-3.06428957915779,152.019657171975,0.00258205034791275,1
"5","BUB1",-3.30517325052001,154.612930247541,0.00117985530855654,1
"6","C7",-15.854581386572,174.334229861779,1.24921310395072e-35,1
"7","CCNB1",0.760009146617156,183.51547352324,0.448224377559749,0
"8","CCNB2",0.797640238990902,246.084207992687,0.425848283427437,0
"9","CCNE1",1.70173726816038,195.233771541884,0.09039648192363,0
"10","CCNE2",-1.52968098129973,140.630660729737,0.128341985003534,0
"11","CDC20",0.856929607589009,184.991546557942,0.392592513917868,0
"12","CDC6",-0.957824485472885,160.030764050438,0.339596061059263,0
"13","CDH1",5.52169585088174,251.632680100563,8.35374903027846e-08,1
"14","CDK1",-1.95293932630854,158.266763980091,0.0525906819076569,0
"15","CDK2",2.4497312848227,200.078552388438,0.0151561799113315,1
"16","CHEK1",-2.21795941323549,159.626035395067,0.0279694395801128,1
"17","COL11A1",1.7755978002451,220.177717981287,0.077180513406529,0
"18","CSAG2",-0.117230132298365,162.893725107547,0.906822106807625,0
"19","DNA2",-3.0287880157026,152.991368969327,0.00288292144491931,1
"20","DUSP4",-4.42615444401244,159.353060049307,1.77217907244869e-05,1
"21","DUSP6",-2.81383821925521,166.852157368913,0.00548395050800591,1
"22","EIF2AK3",-4.38821319493759,145.792749393963,2.17979964355047e-05,1
"23","EPAS1",-1.77821188146204,170.256904569868,0.0771538237484108,0
"24","FPGT",-3.23962856631293,148.036456852577,0.00147798270974037,1
"25","GALK1",3.49045729618152,177.923720708848,0.000607976329262557,1
"26","GDF15",0.00482292466645285,166.811424383386,0.996157640698598,0
"27","GFPT1",-4.11641801881905,141.382079023159,6.51074724319667e-05,1
"28","GPR19",2.3067331101093,173.529309015523,0.0222513182725562,1
"29","GYPC",3.08244988807735,173.757388172417,0.00238817579536568,1
"30","HEY1",-0.543269242026283,177.268831890127,0.587626925185009,0
"31","HIF1A",-4.76411408538632,136.418977943658,4.79065805995926e-06,1
"32","HMGA2",-3.94526533009596,191.446055347793,0.000111815599509967,1
"33","HOXA10",1.85942839035605,174.154550386674,0.0646533207794579,0
"34","HOXB6",-1.34187425887778,230.382771136997,0.180957801207423,0
"35","HOXB7",1.48278281514094,181.142460997507,0.139869817195652,0
"36","HOXB9",-2.70856549979338,231.540035901404,0.00726213752523704,1
"37","ITGAV",-2.71667425730441,148.747299845521,0.00737621432451247,1
"38","ITGB3",-2.34417299656053,170.071722541478,0.0202245932765401,1
"39","KIFC1",0.982916254725365,197.887096153938,0.326848862982553,0
"40","MAD2L1",-2.44994947857913,140.501868894819,0.0155171899994961,1
"41","MAD2L1BP",2.08704836115418,168.108330125342,0.0383923826304885,1
"42","MAGEA1",-3.97603406456528,200.679458938744,9.77630900835985e-05,1
"43","MAGEA12",-1.03511577683391,163.677140877983,0.302141756697482,0
"44","MAGEA2",-0.435357956860132,164.765917523995,0.663872382009035,0
"45","MAGEA3",-1.30346232344194,159.542027407548,0.194294804828793,0
"46","MAGEA5",-2.90480665858714,255.684954168105,0.00399631985402857,1
"47","MAGEA6",-1.28288307618303,162.319172105444,0.201361834521046,0
"48","MCM6",-3.56061816357136,164.084410360493,0.000484305437671264,1
"49","MCM7",1.0009005913236,176.135089110321,0.318247931860646,0
"50","MMP1",10.3302865660722,193.01864404027,3.40792806107422e-20,1
"51","MMP10",7.15287945400675,130.308001824558,5.48201571009518e-11,1
"52","MMP11",2.2653543859533,174.35164509515,0.0247212487199768,1
"53","MMP12",-5.65482578363149,203.314848355725,5.23873022713466e-08,1
"54","MMP13",3.76235381417971,210.606463048305,0.000218188030328448,1
"55","MMP14",2.18373419236923,194.3251751609,0.03017943465485,1
"56","MMP15",1.81890646742061,174.109054647658,0.0706438499935286,0
"57","MMP16",-1.79201870647385,172.139008411004,0.0748863621212707,0
"58","MMP17",5.3506318371144,190.31880083981,2.50117673908529e-07,1
"59","MMP19",1.17476839934526,190.237755611777,0.241555745762791,0
"60","MMP2",2.98406320891815,204.046739350097,0.00319162493029876,1
"61","MMP21",0.392226819393161,169.072303775744,0.695384620067224,0
"62","MMP23B",-1.38214965978389,171.069510384336,0.168727754952749,0
"63","MMP24",5.02126827701124,148.296341221569,1.45384592237893e-06,1
"64","MMP25",-0.096490595440374,172.531901831191,0.923242932931709,0
"65","MMP26",-0.656243846232906,115.368425363575,0.512973992391349,0
"66","MMP27",4.59144639866018,118.13542125396,1.10708554782636e-05,1
"67","MMP28",4.06059194589973,157.373069715256,7.69711674323587e-05,1
"68","MMP3",11.9860538085578,158.1164853019,5.84890228061346e-24,1
"69","MMP7",3.4330506045681,143.795293808102,0.000779825498182094,1
"70","MMP9",-6.22067883359765,216.572537626057,2.52157955043144e-09,1
"71","MSH2",-5.48726384693819,138.844947985571,1.87741194308487e-07,1
"72","MSH6",-5.38803720650913,141.311601359648,2.9056510785072e-07,1
"73","NEDD9",-2.22488690163114,179.515380784794,0.0273346207717202,1
"74","PCNA",0.0817194973482245,159.48304952124,0.934972241273926,0
"75","PEG10",-2.199845024032,157.838236309985,0.0292714729968122,1
"76","PGM3",-3.43434243129472,157.079609934277,0.000759798139894506,1
"77","POLA2",-0.170334627156846,170.39602061182,0.864949057639437,0
"78","POLE2",0.145729670848597,184.397113433721,0.88429397731397,0
"79","POLR2K",0.809430993482279,151.271926757423,0.419538628917581,0
"80","POLR3D",-4.26387441389556,146.101594587609,3.58878098362885e-05,1
"81","PRIM1",-4.3834965341477,147.910811322131,2.20309459540102e-05,1
"82","PRIM2",-1.94952604450528,167.853468754468,0.052899071208445,0
"83","PTK2",-1.30792151629435,154.948272091484,0.192837023074749,0
"84","RASGRF1",-1.21264122084422,175.338050712924,0.226898340861207,0
"85","RFC2",3.36863509515191,175.183155051062,0.000928922066823901,1
"86","RFC3",-1.65864441690404,154.159134192038,0.0992207276902193,0
"87","RFC4",-2.22791174902393,154.387353508167,0.0273320025266486,1
"88","RGS20",2.35622558756058,223.923444887079,0.0193247670645984,1
"89","RRM2",-1.69705699915179,173.932990923263,0.0914745644760965,0
"90","SEC23A",-5.22350939189694,138.682693719647,6.2947654799902e-07,1
"91","SEC23B",-4.99598195217464,144.983856442058,1.66123955246527e-06,1
"92","SEC24A",-4.7520666613816,141.860409284504,4.88341972289282e-06,1
"93","SEC24B",-3.95782314275107,133.784678428378,0.000122201409776013,1
"94","SEC24D",-4.43079845691907,153.814169982274,1.77458495624879e-05,1
"95","SLC16A4",-1.30208468741264,165.269693549137,0.194699217582564,0
"96","SMC2",-4.43431472900281,144.694258734837,1.81510643440498e-05,1
"97","SMC4",-5.44640096805232,145.862659741363,2.1300757734e-07,1
"98","SOX5",-1.88093738370305,158.658496304262,0.061812728685903,0
"99","SPARC",-1.2775703369547,184.661203334541,0.20300478680585,0
"100","SPC25",-0.849427450163385,163.74436245076,0.39688367617703,0
"101","SPP1",-4.7680865980796,151.387991461835,4.33149530514062e-06,1
"102","SPRED1",-2.02986599870566,146.488615955792,0.0441802743808272,1
"103","TWIST1",-0.909523568608142,186.195579127593,0.364249646319398,0
"104","TYMS",0.931357811947366,159.05061408148,0.353080053761826,0
"105","UAP1",-4.24776418449296,172.297695780131,3.52652174246009e-05,1
"106","UBE2C",1.7317631038094,185.399177140353,0.0849790804951396,0
"107","UBE2S",2.13285857780513,166.2262567928,0.0344042120690223,1
"108","UBE2W",-3.98930811034853,137.131617172741,0.000107364958214146,1
"109","WFDC2",0.219396499738827,215.339379952739,0.826549016990693,0
"110","sample_type",NA,NA,NA,NA
